text,amount,category,payment_method,payment_provider,bank_account,text_source
1753 paid for lab tests at Apollo Pharmacy using Union Bank cash.,1753,healthcare,cash,,union bank,english
kharcha Meesho par 27290.44 ka cash se kiya,27290.44,purchase,cash,,,voice
lab test ke paise 24031.83 card se deduct hue,24031.83,healthcare,card,,,hinglish
Zara 1021 credit card se cut gaya IndusInd,1021,shoping,upi,cred,indusind,voice
friend borrowed 7149 paid back via bhim,7149,transfer,upi,bhim,,ocr_receipt
Airtel recharge pe 2519 spend kiya using bhim,null,utilities,upi,None,,hinglish
bhai ne manga liya Lenskart se 905.26 cash kiya,905.26,shopping,cash,,,voice
Quick bite at JioMart 1787 with Slice PayTM,1787,food,upi,paytm,slice,english
Tata CLiQ shopping: 16905 paid with slice,16905,shopping,UPI,slice,slice,ocr_upi
bhai se 5591 liya for diagnostic center phir cash diya,5591,emi,cash,,,voice
"IRCTC me 855 pay kiya, mode cash.",855,nan,cash,,,english
38307.74 Coursera coaching fee paytm se,38307.74,education,upi,paytm,,voice
6020 for medicines at physio cash payment.,6020,healthcare,cash,,,english
"Tata CLiQ shopping, 29954 by cash",29954,shopping,Cash,,,english
"Rahul ne 2844 maanga tha, wapas kiya bhim pe",2844,friends,upi,null,,hinglish
mobile recharge 247.48 paid through Slice from Jupiter,247.48,utilities,upi,slice,Jupiter,voice
Zomato par 2220.69 ka bill Jupiter card se,--,dining,upi,nan,jupiter,ocr_receipt
main SonyLIV ke liye 1837 pay kiya using PayTM,1837,entertainment,upi,,,voice
physio pe 3469 udhar diye niyo se,3469,healthcare,upi,niyo,niyo,hinglish
BookMyShow subscription 844 Google Pay,844,entrtainment,upi,NA,,ocr_upi
"Jio recharge ke liye cash diya 2145.36 ki, baad me Fi se adjust karunga",2145.36,utilities,upi,null,Fi Money,hinglish
dentist ke liye 18914 spent from Jupiter card,18914,healthcar,upi,jupiter,jupiter,voice
crypto mein 29091 add kiya slice se,29091,investment,upi,slice,slice,hinglish
Spent 705.55 on food from cafe with debit card,705.55,food,card,,,english
main metro ko 6848.74 pay kiya Niyo ke through,6848.74,travel,upi,niyo,Niyo,voice
cafe 1265 wala order cred se kiya,1265,food,upi,cred,,english
Myntra recharge 8645.30 bhim,8645.30,purchase,upi,bhim,,ocr_receipt
Airtel recharge for 1552.52 using Mastercard from Federal Bank,1552.52,utilities,card,,Federal Bank,english
Groww pe 40315.24 lagaya yaar,40315.24,mutual fund,unknown,,,hinglish
Paid 1884.77 for dhaba using niyo from BOB,1884.77,food,upi,niyo,niyo,ocr_receipt
exam fee ke liye 52825 pay kiye card se,52825,education,card,,,hinglish
Travel expense 11261 for IRCTC using Slice.,11261,travel,upi,slice,slice,english
"Arjun paid the bill, so sent my half of 9858.78 via CRED",9858.78,friends,upi,cred,,english
Tuition ke 18447.23 de diye yaar,18447.23,education,unknown,,,hinglish
doctor ko checkup ke 3926.35 cash diye,3926.35,hospital,cash,,,hinglish
Cash 2396 for Steam,2396,entertainment,cash,,,english
Paid 1204.05 at INOX with niyo,1204.05,leisure,upi,niyo,niyo,english
Groww pe 45827 ka contribution BHIM se,45827,invest,upi,nan,,ocr_receipt
,403.62,Food,upi,nan,,hinglish
Monthly credit card EMI of 29135 paid via Jupiter,29135,emi,upi,cred,jupiter,hinglish
i paid personal loan EMI 27898.10 with Jupiter from Canara,27898.10,emi,upi,jupiter,jupiter,voice
  electricity bill pe 4098.49 spend kiya using Fi Money   ,4098.49,utilities,upi,fi,fi,hinglish
6738 Air India driver ko cash diya,6738,travel,cash,,,hinglish
Monthly credit card EMI of 28167 paid via Niyo,28167,emi,upi,cred,niyo,hinglish
Hotstar pe movie dekhne ka 2657 spend kiya,2657,entertainment,unknown,,,hinglish
DTH recharge bill pay 1615.43 Fi Money,1615.43,utilities,upi,fi,fi,ocr_receipt
   654.63 NPS mein daal diye Jupiter pe  ,654.63,savings,upi,jupiter,jupiter,hinglish
Pizza from Box8 for 2186.39 on BHIM,2186.39,food,upi,bhim,,english
"952 repaid to Priya for the book, used Slice",952,Friends,upi,slice,slice,english
roommate ko 2429.36 udhaar diya phonepe se,2429.36,friends,upi,phonepe,,hinglish
"personal loan EMI kharcha, 28160 via card",28160,investment,card,,,ocr_upi
19414 coaching coaching fee paytm se,19414,education,upi,paytm,,voice
"Lunch at Zomato for 991.38, paid by cash",991.38,food,cash,,,hinglish
Paid 3220 to flatmate using jupiter.,3220,friends,upi,jupiter,jupiter,ocr_upi
home loan EMI for 1717.12 done by card,1717.12,EMI,card,,,voice
personal loan EMI ka installment 16884 clear kardia cash pe,16884,emi,cash,,,hinglish
"Amazon ka order 20294 mein, paid by credit card",20294,shopping,upi,cred,,hinglish
Paid 1359.95 for Starbucks using bhim from BOB,1359.95,food,upi,bhim,bob,ocr_receipt
Monthly bike loan EMI 31020 paid by debit card,-31020,emi,card,,,english
"Bhai, credit card EMI ka 26909 de diya cash se",26909,emi,upi,cred,,hinglish
Paid checkup 11926 from,11926,healthcare,unknown,,,ocr_upi
Priya to gpay 2472 for dinner split,2472,peer,upi,gpay,,voice
upGrad ki fees 49929 di Mastercard se,49929,education,card,,,hinglish
doctor ke paise 9401 credit card se deduct hue,"9,401.00",hospital,upi,nan,,hinglish
Yatra se 860 ka bill clear kiya gpay ke through,860,travell,upi,gpay,,hinglish
cred se concert ko 1736.62 ka payment,1736.62,entertainment,upi,cred,,ocr_upi
physio ka bill 12270 cash diya,12270,healthcare,cash,,,voice
Education fee 30172 paid to tuition using Phone Pe from SBI.,30172,friends,upi,phonepe,sbi,ocr_upi
Paid 2371.06 to Biryani Blues via card from State Bank,2371.06,friends,card,,sbi,english
"Coffee on me, Ananya ko 2163 pay kiya",2163,friends,unknown,,,hinglish
19187 for lab/medicine at checkup via cred,19187,Health,upi,None,,ocr_upi
  Subway 2051 wala order slice se kiya   ,2051,Food,upi,null,slice,english
fees course ki fees 34361.39 transfer ki Bandhan se,34361.39,education,unknown,,bandhan,hinglish
bhai car loan EMI ka installment 18181 pay kiya Niyo se,18181,emi,upi,niyo,niyo,voice
1945 gone for EMI,1945,None,unknown,,,english
"Priya paid me back 930 for the concert, got it in Canara Bank via BHIM",930,friends,upi,bhim,canara,english
6641 doctor ko transfer kiya Google Pay se,6641,healthcare,upi,nan,,hinglish
mutual fund SIP account mein 39574.69 daale from RBL,39574.69,invstment,unknown,,rbl,hinglish
Fi se coaching ko 44510,44510,education,upi,fi,fi,english
"23194.17 for Nykaa order, payment Slice se hui",23194.17,shopping,upi,NA,slice,hinglish
Bus ticket on metro for 11012.,11012,travel,unknown,,,english
Paid upGrad fees 40292.68 via Jupiter,40292.68,education,upi,jupiter,jupiter,english
upGrad coaching ka advance 42922 dedo,42922,education,unknown,,,hinglish
crypto ke liye 4887 invest kiya bhai,4887,investment,unknown,,,hinglish
installment installment 27061 paid from,27061,emi,unknown,,,ocr_upi
"Online order on Tata CLiQ for 23730, paid by cash",23730,shopping,cash,,,english
DTH recharge recharge of 3667 done via GPay,3667,utilities,upi,gpay,,voice
diagnostic center ka bill 14462.91 Fi pe clear kiya,14462.91,healthcare,upi,fi,Fi Money,hinglish
"Ananya ne 8711 maanga tha, de diya cash",8711,friends,cash,,,ocr_receipt
  Cab fare 5298 to IndiGo.   ,5298,commute,unknown,,,english
dhaba 1278.64 wala order Google Pay se kiya,1278.64,friends,upi,gpay,,english
i bought from H&M for 3751.38 with cash,3751.38,retail,cash,,,voice
dentist ka bill 15778.93 PayTM pe clear kiya,15778.93,Health,upi,None,,hinglish
mall 14116 PayTM,14116,Shopping,upi,paytm,,ocr_receipt
Blinkit order for 1285 using Visa,1285,food,card,,,english
null,3946,EMI,upi,cred,,ocr_upi
Auto debit for home loan EMI of 29625 from Niyo,29625,emi,upi,niyo,niyo,english
Cash on delivery for Reliance Digital order 16299,16299,Shopping,cash,,,ocr_receipt
main ne Rahul ko 6666 bheja on bhim from RBL Bank,6666,friends,upi,bhim,RBL Bank,voice
Paid 780 to Apple Music via cash,780,entertainment,cash,,,ocr_upi
electricity bill ka 2770 ka bill auto-debit ho gaya Jupiter se,2770,utilities,upi,jupiter,jupiter,hinglish
McDonald's pe 1935 ka bill credit card kiya,1935,food,Upi,cred,,hinglish
Food expense at Pizza Hut 74.77 by debit card,74.77,food,card,,,english
   paid 12039.25 for metro via PayTM upi  ,12039.25,travel,upi,paytm,,voice
JioCinema movie tickets 1683 paytm,1683,entertainment,upi,paytm,,english
checkup 1661 UPI Fi Money.,1661,healthcare,upi,fi,fi,english
RedBus par 4836 spend via cash from RBL,4836,fuel,cash,,rbl,ocr_upi
"  car loan EMI due cleared, 15660 from credit card ",15660,emi,upi,cred,,english
main coaching ke liye 45124 pay kiya State Bank card se,45124,friends,card,,sbi,voice
  Apollo Pharmacy charges 12534 from SBI card   ,12534,hospital,card,,sbi,ocr_receipt
   5603 for this month's bike loan EMI from RBL Bank   ,5603,emi,unknown,,rbl,voice
"Just cleared my wifi bill, 3854 paid on debit card",3854,utilites,upi,fi,Fi Money,english
"Uber flight booking 802, paid by Google Pay.",802,travel,upi,gpay,,english
Spent 8323 on a quick Lenskart order with Google Pay,8323,shoping,upi,gpay,,english
"friend ke liye book mangaayi, 6775.71 advance diya",6775.71,friends,unknown,,,hinglish
main education loan EMI ka installment 22162 paytm se de diya,22162,loan,upi,paytm,,voice
Udemy subscription renew 40562 cash,"40,562.00",education,cash,,,voice
Paid 2547.31 for gas bill through slice,0.01,entertainment,upi,slice,Slice,english
aaj mobile recharge ka bill gaya 3037 cred se,3037,utilities,upi,cred,,voice
maintenance recharge ho gaya 3996.06 ka from bhim,3996.06,utilities,upi,bhim,,hinglish
Uber fare 6098.08 debited by cash,6098.08,travel,card,,,ocr_upi
null,19230,emi,upi,jupiter,jupiter,hinglish
   FD SIP auto-debit 28138 ho gaya  ,28138,investment,card,,,hinglish
Spotify ke liye 1868 ka recharge from Slice with jupiter,1868,entertainment,upi,slice,jupiter,voice
   Paid 36199 to RBL for bike loan EMI by credit card   ,36199,emi,upi,cred,RBL Bank,ocr_receipt
home loan EMI ka EMI 14645 auto debit hogaya,14645,friends,card,,,hinglish
main Starbucks ko 1235.98 diye cash se,1235.98,education,cash,,,voice
  Cash payment of 21428 at doctor  ,21428,healthcare,cash,,,ocr_upi
"15561.77 gaye Tata CLiQ pe, cash se settle kiya",15561.77,shopping,cash,,,hinglish
merchant ko 1703 pay kiya card se dinner ka,1703,food,card,,,voice
BookMyShow pe 1161 ka payment cash se kar diya,1161,entertainment,cash,,,voice
books ke liye 40486 cash se,40486,school,cash,,,english
   1679 spent at Box8 with slice   ,1679,food,upi,slice,slice,ocr_upi
bhai movie ticket ke liye 1906 Jupiter se book kiya PVR pe,1906,entertainment,upi,jupiter,jupiter,hinglish
main 1936 electricity bill ka bill bhara,1936,utilities,unknown,,,voice
Neha ko 4006.91 ka UPI payment Mastercard se kiya.,4006.91,friends,card,,,ocr_upi
MedPlus ka bill 14057.00 cash diya,14057.00,healthcar,cash,,,voice
DTH recharge pe 2616.86 spend kiya using bhim,2616.86,bills,upi,bhim,,hinglish
mobile recharge bill paid 2451.81 using State Bank card,2451.81,Utilities,card,,State Bank,voice
McDonald's 454 ka bill clear via BHIM,454,food,upi,bhim,,english
metro recharge of 8610.29 using Jupiter.,null,travel,upi,nan,jupiter,english
phonepe se KFC ko 1300.42 transfer kiya lunch ke liye,1300.42,dining,upi,phonepe,,voice
aaj Zomato Gold movie for 1409.64 on card from Bank of Baroda,1409.64,entertainment,Card,,BOB,voice
UPI payment to electronics store for 26709 from PhonePe,26709,Shopping,upi,None,,ocr_receipt
metro se 12739 ka recharge karaya.,12739,fuel,unknown,,,english
   Education fee 58211.11 paid to upGrad using Mastercard from Canara Bank.   ,--,eduation,card,,canara,ocr_upi
bhim se JioCinema ki annual plan leli worth 392,392,travel,upi,bhim,,hinglish
Arjun ke birthday gift mein chip in 465 via credit card,465,p2p,upi,cred,,voice
brother ko 4153 gift sent via Jupiter,4153,friends,upi,null,jupiter,ocr_receipt
RedBus travel expense 6905 deducted from SBI,6905,Transport,unknown,,sbi,hinglish
Charged 10625.94 to Amazon from Canara Bank account using cash,10625.94,shopping,cash,,Canara Bank,english
card se personal loan EMI ke 38697 pay kiye,38697,emi,card,,,hinglish
"196 udd gaya BigBasket pe khane mein, cash diya",196,foods,cash,,,hinglish
i paid 2344 for Air India using cash,2344,travel,cash,,,voice
canteen food delivery 2115 on Niyo,2115,food,upi,niyo,Niyo,english
SpiceJet pe 5257 spend kiye using Jupiter UPI,5257,commute,upi,jupiter,jupiter,hinglish
Order from Zepto of 355 using Slice,355,food,upi,slice,slice,ocr_upi
Monthly EMI of 29043 via State Bank credit card,29043,loan,upi,nan,sbi,ocr_receipt
Tuition fee 14056 paid to fees with niyo.,14056,education,upi,niyo,Niyo,ocr_upi
Spent 10952.51 on petrol pump from HDFC Bank,10952.51,travell,UNKNOWN,,hdfc,ocr_receipt
Booked Rapido ticket for 9504.49 via cash.,9504.49,cab,cash,,,english
   phonepe used for fees 26288  ,26288,education,upi,phonepe,,english
mobile recharge ka bill pay kiya 3679 Phone Pe se,3679,utilities,upi,phonepe,,hinglish
dentist 5914 debit card,5914,healthcar,card,,,ocr_receipt
paid 9891 for Cleartrip via debit card upi,"9,891.00",travel,card,,,voice
wifi bill ( 4090 ) paid through jupiter,4090,utilities,upi,jupiter,Jupiter,ocr_upi
8632.10 sent to flatmate for weekend plan expenses using phonepe,8632.10,friends,upi,phonepe,,english
Deducted 10847.60 for home loan EMI from State Bank account,10847.60,installment,unknown,,sbi,english
netmeds ka order 19735.39 upi se clear kardia,19735.39,healthcare,unknown,,,voice
car loan EMI auto-debit of 13104 from Union Bank on card,13104,loans,card,,union bank,ocr_upi
just paid 15519.45 towards credit card EMI using Visa,15519.45,emi,upi,NA,,voice
gold SIP auto-debit 7880 ho gaya,7880,,card,,,hinglish
Jio recharge 4540 payment successful on PayTM,4540,utilities,Upi,paytm,,ocr_receipt
upGrad ki fees 2432 di Visa se,2432,education,card,,,hinglish
doctor payment 11789 by slice,11789,healthcare,upi,slice,slice,ocr_upi
"MakeMyTrip me 10022 pay kiya, mode Jupiter.",10022,travel,upi,jupiter,jupiter,english
lab test par 8281 ka bill cash se,8281,medical,cash,,,ocr_upi
"course ko 28667 bheje, cash diya",28667,education,cash,,,hinglish
PPF SIP deduction of 1300 by Phone Pe.,1300,investment,upi,phonepe,,english
Spent 2075 on food from Burger King with credit card,2075,food,upi,cred,,english
7214.56 sent to Priya for weekend plan expenses using paytm,7214.56,freind,upi,gpay,,english
SonyLIV subscription 200 dedo using Visa,200,entertainment,card,,,voice
Neha ko 4960 ka UPI payment Jupiter se kiya.,4960,friends,upi,jupiter,jupiter,ocr_upi
maintenance pe 3424 spend kiya using cash,3424,recharge,cash,,,hinglish
Groww ke liye 48492 ka SIP Google Pay se diya,48492,investment,upi,gpay,,hinglish
4489 for car loan EMI through card,4489,emi,card,,,english
Pizza from Starbucks for 985 on Fi Money,985,meal,upi,,Fi,english
cafe total 1126.06 Visa,1126.06,meal,card,,,ocr_receipt
"18104 for Myntra order, payment GPay se hui",18104,shopping,upi,gpay,,hinglish
personal loan EMI ke liye 22323.50 ka payment kardia PayTM pe,22323.50,EMI,upi,paytm,,hinglish
--,6257,emi,cash,,,voice
Phone Pe through for Nykaa 14036,14036,shopping,upi,phonepe,,ocr_upi
Medical bill of 5564 at diagnostic center via niyo,--,Health,upi,niyo,Niyo,ocr_upi
EMI ka installment 5532.10 clear kardia credit card pe,5532.10,emi,upi,cred,,hinglish
"mall se 11888.24 ka maal aaya, BHIM se pay kiya",11888.24,shopping,Upi,bhim,,hinglish
bhai ke saath Box8 mein khana khaya 80.08 ka bill gpay se,80.08,food,upi,gpay,,voice
i paid 5081 to Netmeds using credit card,5081,healthcare,upi,cred,,voice
electricity bill ke liye 2848.35 ka payment kiya niyo se,2848.35,utilities,upi,niyo,niyo,hinglish
Uber ke liye 8590 ka payment GPay se,8590,travel,upi,gpay,,ocr_upi
   PPF ko 45783 transfer kiya debit card ke through  ,45783,savings,card,,,hinglish
3733 spent on mall via Visa,"3,733.00",shopping,card,,,ocr_upi
aaj Amazon order 25666 debit hua cash se,25666,shopping,card,,,voice
course subscription renew kiya 12351 ka,12351,education,unknown,,,hinglish
NA,2386,dining,card,,,hinglish
PPF pe 31155.30 lagaya yaar,31155.30,investment,unknown,,,hinglish
Book purchase for Allen coaching 721 cash,721,education,cash,,,ocr_receipt
doctor ka bill 22915.52 cash diya,22915.52,hospital,cash,,,voice
1258 rs KFC ko diya phonepe se,1258,meal,upi,,,voice
books coaching class 10971.75 from account,10971.75,eduation,unknown,,,english
gpay se books ka 36997 ka bill pay kiya.,36997,education,upi,gpay,,ocr_upi
  broadband ka bill 4856 diya  ,4856,utilities,unknown,,,voice
,7268.64,emi,card,,,ocr_upi
  aaj doctor fees 14782 cash mein de aaya  ,14782,healthcare,cash,,,voice
2799 Hotstar subscription ke liye de diye,2799,Entertainment,unknown,,,hinglish
gold mein 48282 add kiye using Jupiter,48282,investment,upi,jupiter,jupiter,voice
  Hotstar 1636 Fi Money Canara  ,null,entertainment,UPI,fi,Canara Bank,ocr_upi
"   Sneha paid the bill, so sent my half of 6179 via Phone Pe   ",6179,friends,upi,phonepe,,english
"Rahul ne 981 maanga tha, wapas kiya GPay pe",981,friends,upi,,,hinglish
Auto-payment for EMI 24733 by Mastercard,24733,emi,card,,,ocr_receipt
stationery coaching class 22946.58 from Union Bank account,22946.58,education,unknown,,Union Bank,english
Paid back 6085.33 to flatmate for the movie tickets using Google Pay,6085.33,transfer,upi,None,,english
main Ola ko 4636.40 de diya cash me,4636.40,emi,cash,,,voice
NPS SIP deduction of 27845 by Paytm.,27845,invstment,upi,paytm,,english
  Groww ki installment 27414 paid with cash  ,27414,Investment,cash,,,voice
Chai-samosa ke liye Zepto mein 1320 spend kiye PhonePe pe,1320,foods,upi,phonepe,,hinglish
JioCinema ke liye 2771 Niyo se,2771,entrtainment,upi,niyo,niyo,ocr_upi
6840 spent on school fees using card,6840,eduation,card,,,english
Paytm se Steam ko 2509 ka payment,2509,entrtainment,upi,,,ocr_upi
"sister ke liye book mangaayi, 9474 advance diya",9474,friends,unknown,,,hinglish
  aaj food delivery cafe 890.47 cred ke through  ,890.47,food,upi,cred,,voice
"HP petrol flight booking 8615, paid by Mastercard.",8615,travel,card,,,english
RedBus ke ticket ke liye 4625 pay kiya cash pe,4625,travel,cash,,,hinglish
Myntra 17839.47 paid with cash from,-17839.47,shopping,cash,,,voice
"Drove together, flatmate ne petrol ka 7332.36 diya",7332.36,friends,unknown,,,hinglish
petrol pump for 9905 using cash,9905,travell,cash,,,voice
"Bhai, personal loan EMI ka 13527.34 de diya cash se",13527.34,loans,Cash,,,hinglish
"course se material mangaya, 46749 diye Slice se",46749,education,upi,slice,Slice,hinglish
536.89 to rent via slice,536.89,Utilities,upi,slice,Slice,english
Cleartrip ke liye 13340 ka payment paytm se kiya.,13340,travel,upi,paytm,,english
17288.02 Groww mein daal diye CRED pe,17288.02,investment,upi,cred,,hinglish
recurring deposit mein 36948 ka order Jupiter se,36948,,upi,jupiter,Jupiter,voice
rent ke liye 3612.63 ka payment on Fi Money,3612.63,recharge,upi,fi,fi,ocr_upi
   merchant ne 20634 liya cash mein for checkup  ,-20634,healthcare,cash,,,voice
UPI payment of 4113.87 for maintenance via Slice,4113.87,recharge,upi,slice,slice,ocr_upi
922 debited for Steam by Phone Pe,922,entertainment,upi,phonepe,,ocr_upi
   bhai mobile recharge de diya 3296 wala CRED se  ,3296,utilities,UPI,nan,,voice
"roommate ko 8945.79 udhaar liya yaar, kal return karunga",8945.79,friends,Unknown,,,hinglish
FD renewal 36161.80 via gpay from Jupiter,36161.80,investment,upi,gpay,jupiter,ocr_receipt
BigBasket pe 1507 ka bill BHIM kiya,1507,food,upi,bhim,,hinglish
recurring deposit SIP auto-debit 48269 ho gaya,48269,invstment,card,,,hinglish
Dominos order for 2169 using bhim,2169,food,upi,bhim,,english
bhai movie ticket ke liye 2469 cash se book kiya JioCinema pe,2469,entertainment,cash,,,hinglish
Added 45441 to gold from my savings.,45441,investment,unknown,,,english
NA,8548,friends,cash,,,voice
Recharged Jio recharge for 3073 with cred,3073,utilities,upi,--,,english
Mastercard to eye clinic for 21703.70.,21703.70,null,Card,,,english
doctor 6582.76 rupees paid with Google Pay,6582.76,healthcar,upi,,,ocr_receipt
paid 13663 for SpiceJet via Google Pay upi,13663,Transport,upi,gpay,,voice
i just did INOX subscription for 349 through debit card,349,entertainment,CARD,,,voice
Coursera course fee 37977.76 transferred via niyo,37977.76,school,UPI,niyo,niyo,voice
Shopped at Zara for 10913,10913,retail,unknown,,,english
school fees subscription renewed 12984 via debit card,12984,education,card,,,english
MakeMyTrip se 10307 ka recharge karaya.,null,travel,unknown,,,english
"Online order on electronics store for 7342, paid by Visa",7342,shopping,card,,,english
Karan recharge of 866 via jupiter.,866,friends,upi,jupiter,Jupiter,ocr_upi
"flatmate ke liye book mangaayi, 3900 advance diya",3900,friends,unknown,,,hinglish
"1453 debited for Blinkit order, cash",1453,meal,card,,,ocr_upi
28424.21 ki installment bhari RBL Bank ke through,nan,loan,UNKNOWN,,rbl,hinglish
EMI 12946 to Bank of Baroda using credit card,12946,emi,upi,cred,bob,ocr_receipt
Paid DTH recharge for 901.79 using cash from Yes Bank,901.79,recharge,cash,,yes bank,english
concert membership renewal 271.87 via Phone Pe,271.87,entertainment,upi,phonepe,,english
wifi bill ke liye 124 ka payment kia cash se,null,utilities,upi,fi,fi,voice
car loan EMI for 23526 done by slice,23526,EMI,upi,slice,slice,voice
bhai installment ka installment 14355 pay kiya se,14355,loan,unknown,,,voice
mera personal loan EMI ka payment 35392 ho gaya PhonePe pe,35392,loans,upi,phonepe,,voice
Paid 1040 for DTH recharge using card,1040,utilities,card,,,ocr_upi
Ajio recharge 3794 cred,3794,shopping,upi,cred,,ocr_receipt
Netmeds ka bill 21756 cash kiya,21756,education,cash,,,hinglish
bhai movie ticket ke liye 2501 phonepe se book kiya concert pe,2501,entertainment,upi,phonepe,,hinglish
EMI of 16021 paid via Phone Pe,16021,emi,upi,phonepe,,ocr_upi
Spent 42952 on Coursera course materials,42952,study,unknown,,,ocr_receipt
main Cleartrip ko 13049 pay kiya card ke through,13049,travel,card,,,voice
Booked Indian Oil ticket for 9928.86 via cash,9928.86,travel,cash,,,ocr_upi
  Tata CLiQ online order 23465 paid by Jupiter ,23465,shopping,upi,jupiter,Jupiter,ocr_receipt
Monthly personal loan EMI of 33242 paid via card,33242,installment,card,,,hinglish
"Online order on electronics store for 21171, paid by cash",21171,shopping,cash,,,english
Tuition ke 48648 de diye yaar,48648,education,unknown,,,hinglish
Pizza from cafe for 387 on BHIM,387,NA,upi,,,english
water bill ka bill 2324 PayTM se diya,2324,utilities,upi,paytm,,hinglish
  dhaba food delivery 2218 on Phone Pe   ,2218,food,upi,phonepe,,english
phonepe se Arjun ko transfer 9700 for movie tickets,9700,friends,upi,phonepe,,voice
niyo se Allen coaching ko 38290.87,--,education,upi,niyo,Niyo,english
main home loan EMI ka 14001 de diya card se,14001,emi,card,,,voice
  Debited 35427 for home loan EMI via Visa  ,35427,EMI,card,,,ocr_upi
Jio recharge ka bill 1101 diya,1101,utilities,unknown,,,voice
credit card se installment ke 17349 pay kiye,17349,EMI,upi,null,,hinglish
"Behrouz ka online order, 963.54 debit hua Niyo se",963.54,dining,upi,niyo,niyo,hinglish
water bill recharge 1984.78 kiya Paytm pe,1984.78,utilities,upi,,,voice
23012.49 invested in sovereign gold bond through RBL Bank,23012.49,savings,unknown,,rbl,ocr_upi
tuition ke liye 55123.24 cash se,55123.24,education,CASH,,,english
KFC pe 1807 ka bill Slice kiya,1807,foods,upi,slice,slice,hinglish
Food delivery Starbucks 1963 cred,1963,restuarant,upi,cred,,ocr_upi
"Lunch at JioMart for 1035.03, paid by card",1035.03,food,card,,,hinglish
INOX 1839.58 Mastercard Bandhan Bank,1839.58,entertainment,card,,bandhan,ocr_upi
Ola journey cost 1394 paid by cash,1394,travel,cash,,,ocr_upi
Pizza Hut ka khana 992 ka pay se payment hua,992,food,unknown,,,voice
Behrouz pe 1878 ka bill jupiter kiya,1878,food,upi,--,jupiter,hinglish
"Amazon ka order 9385 mein, paid by Jupiter",9385,shopping,upi,jupiter,Jupiter,hinglish
Apple Music monthly fee 2459 through Canara card,2459,entertainment,card,,canara,ocr_receipt
32841 transferred for Groww via PayTM.,32841,investment,upi,paytm,,english
,1415,entertainment,card,,,english
installment ka EMI 30717 auto debit hogaya,30717,emi,card,,,hinglish
"Ufff, Tata CLiQ ne kat liya 23828.25, Mastercard se payment",23828.25,retail,card,,,hinglish
Paid 36163 to school fees from,36163,school,unknown,,,english
36253 udemy course liya debit card se,999999.99,investment,Card,,,voice
"Yaar, installment ka paisa 7654 kat gaya PNB se",7654,emi,unknown,,pnb,hinglish
Indian Oil fuel fill 14972 Phone Pe se,14972,travel,upi,phonepe,fi,ocr_receipt
11419.99 payment at diagnostic center using Slice,11419.99,healthcare,upi,slice,slice,ocr_upi
mutual fund SIP ke liye 49371 ka kharcha Mastercard se,49371,investment,card,,,voice
MakeMyTrip ke liye 10660.63 gpay se diya,10660.63,Transport,upi,gpay,,hinglish
25429 gone for credit card EMI,25429,emi,upi,--,,english
"47942 ka course liya school fees pe, card se payment hua",47942,education,card,,,hinglish
Paid 2684.80 for credit card EMI using card,2684.80,emi,upi,cred,,ocr_upi
concert ke liye 656.19 Google Pay se,656.19,entertainment,upi,gpay,,ocr_upi
i just put 13696 in Angel One from Bank of Baroda,13696,investment,unknown,,BOB,voice
EMI ki installment 35816.69 de di Slice se,35816.69,loan,upi,slice,slice,english
crypto purchase of 18377 via cash,18377,savings,cash,,,ocr_receipt
restaurant order for 728.23 using Phone Pe,728.23,food,upi,phonepe,,english
nan,21055.33,shopping,Upi,gpay,,voice
concert 566 cash IndusInd,566,entertainment,cash,,indusind,ocr_upi
Udemy coaching class 3096 from account,3096,Education,unknown,,,english
credit card se electricity bill ko 4995.29 transfer kiya,4995.29,utilities,upi,cred,,hinglish
Booked Goibibo ticket 9613.41 via CRED,9613.41,travel,upi,cred,,ocr_receipt
15816 gone for Amazon shopping,15816,shopping,unknown,,,english
FD mein 13903 add kiya Phone Pe se,13903,invstment,upi,phonepe,,hinglish
"13070.43 gaye Lenskart pe, Mastercard se settle kiya",13070.43,shopping,card,,,hinglish
index fund ke liye 35457 ka SIP PayTM se diya,35457,invest,upi,paytm,,hinglish
"Neha ne 2019.38 maanga tha, de diya cash",2019.38,transfer,cash,,,ocr_receipt
main 3877 gas bill ka bill bhara,3877,utilities,unknown,,,voice
Visa to Apollo Pharmacy for 9649.03.,9649.03,healthcare,card,,,english
aaj auto par 8334 kharcha hua card se,8334,travel,card,,,voice
Booked RedBus ticket for 6477 via cash,6477,travel,cash,,,ocr_upi
   electricity bill ka bill pay kiya 1231 bhim se  ,1231,utilities,upi,bhim,,hinglish
Made water bill payment of 2802 via BHIM,2802,utilities,upi,bhim,,english
"Zara shopping, 20049 by GPay",20049,shopping,upi,gpay,,english
Fees for Allen coaching 22306 paid by credit card,22306,education,upi,cred,,english
Cleartrip recharge 10491 from SBI account via cash,10491,Transport,cash,,State Bank,voice
EMI ke liye 9127.75 ka payment kardia card pe,9127.75,EMI,card,,,hinglish
  course course fee 10604.41 paid with cash.   ,10604.41,education,cash,,,ocr_upi
   water bill bill 3321 done via PayTM  ,3321,utilities,upi,paytm,,english
Cleartrip ke liye 12261 ka payment niyo se,12261,travel,upi,niyo,niyo,ocr_upi
credit card EMI of 18074 paid via debit card,18074,emi,upi,cred,,ocr_upi
