text,amount,category,payment_method
Bus ticket INR 19311,19311,travel,card
48981 rupay ka order diye flipkart order pe cash se,48981,shopping,cash
24322 rupay ka personal loan installment installment upi se diye,24322,emi,upi
electronics shopping se 22046 rupye ka shopping kiya card se,22046,shopping,card
aaj gas bill payment ka 40346 rs. ka bill card se bharra,40346,utilities,card
Flipkart order INR 33697,33697,shopping,upi
19731 rs kharchaa kiya game purchase pe card se,19731,entertainment,card
Water bill INR 31532,31532,utilities,cash
credit card emi ki EMI 32447 rupaye card se bhara,32447,emi,card
32186 rupaye ka credit card emi installment card se diye,32186,emi,card
Netflix subscription INR 5263,5263,entertainment,upi
electricity bill payment ka bill 26745 rs. upi se bharra,26745,utilities,upi
car loan emi EMI 6265 rs kat gaye cash se,6265,emi,cash
aaj fixed deposit investment me 4831 rupay lagaye upi se,4831,investment,upi
Doctor consultation INR 33024,33024,healthcare,upi
Netflix subscription INR 32583,32583,entertainment,upi
44652 rs. stock purchase me daale card se,44652,investment,card
Pharmacy medicine purchase INR 14353,14353,healthcare,card
"zomato dinner pe 5894 ka bill tha, cash se pay kiyaa",5894,food,cash
Pharmacy medicine purchase INR 25897,25897,healthcare,cash
Mutual fund SIP INR 49507,49507,investment,card
aaj water bill ka 25603 rupaiye ka bill cash se bharaa,25603,utilities,cash
39432 rupye ka mobile recharge bill pay kiya upi se,39432,utilities,upi
Stock purchase INR 1123,1123,investment,card
Mutual fund SIP INR 11349,11349,investment,upi
Electronics shopping INR 16158,16158,shopping,card
movie ticket booking dekha 30543 rupaye laga card se die,30543,entertainment,card
39818 rupaiye ppf contribution me daale card se,39818,investment,card
hospital bill me 44223 rupaye kharch hua upi se diy,44223,healthcare,upi
40005 rupaiye ka bike loan emi installment cash se diy,40005,emi,cash
Fixed deposit investment INR 43713,43713,investment,upi
Mobile recharge INR 35489,35489,utilities,cash
Bike loan EMI INR 24571,24571,emi,card
hospital bill pe 39512 rupaiye karcha hui davai pe upi se,39512,healthcare,upi
Amazon purchase INR 23397,23397,shopping,upi
aaj stock purchase me 863 rupye lagaye upi se,863,investment,upi
Online shopping payment INR 45940,45940,shopping,upi
"swiggy order pe 5692 ka bill tha, cash se pay kiya",5692,food,cash
Car loan EMI INR 40752,40752,emi,card
aaj electricity bill payment ka 11347 rupaiye ka bill card se bhara,11347,utilities,card
loan ka car loan emi 6265 rs cash se pay kya,6265,emi,cash
Electricity bill payment INR 22344,22344,utilities,cash
padhai ke liye library fee pe 29405 rupay kharcha kiya card se,29405,education,card
47974 rupaiye ppf contribution me daale card se,47974,investment,card
Mobile recharge INR 7893,7893,utilities,upi
1506 rupye stock purchase me daale upi se,1506,investment,upi
Hotel booking INR 18691,18691,travel,card
25897 rupaye ka pharmacy medicine purchase bill aaya cash se pay kya,25897,healthcare,cash
Ola cab INR 48830,48830,travel,card
Movie ticket booking INR 17925,17925,entertainment,card
Fixed deposit investment INR 20093,20093,investment,upi
loan ka personal loan installment 33184 rs cash se pay kiya,33184,emi,cash
online course subscription ka course 19262 rupaye me liya card se pay kya,19262,education,card
14490 rupaye ka car loan emi installment upi se diyee,14490,emi,upi
Electronics shopping INR 17441,17441,shopping,card
College fees payment INR 22947,22947,education,cash
aaj food court payment se khana order kya 15072 rs cash se die,15072,food,cash
Ola cab INR 12220,12220,travel,cash
24221 rupaiye kharch kiyaa game purchase pe upi se,24221,entertainment,upi
Personal loan installment INR 24322,24322,emi,upi
7479 rs. ka order die flipkart order pe card se,7479,shopping,card
food court payment ka khana 29440 rs. me aaya cash se diyee,29440,food,cash
gas bill payment recharge kya 229 rs card se,229,utilities,card
Exam fee INR 34963,34963,education,upi
Mobile recharge INR 10247,10247,utilities,upi
ola cab ki ticket 6339 rs. me book kia upi se,6339,travel,upi
23938 rupay ka pharmacy medicine purchase bill aaya cash se pay kiyaa,23938,healthcare,cash
Electricity bill payment INR 44822,44822,utilities,cash
Pizza delivery INR 49494,49494,food,cash
Credit card EMI INR 1351,1351,emi,card
Home loan EMI INR 44640,44640,emi,upi
doctor consultation me 26612 rupaye karcha hua card se die,26612,healthcare,card
credit card emi ki EMI 2925 rs. cash se bhara,2925,emi,cash
22328 rupaiye ka personal loan installment installment upi se diye,22328,emi,upi
flight ticket booking ki ticket 40894 rs. me book kya upi se,40894,travel,upi
Netflix subscription INR 46218,46218,entertainment,card
padhai ke liye exam fee pe 9321 rupaiye kharchaa kia upi se,9321,education,upi
5785 rs ka mobile recharge bill pay kiya cash se,5785,utilities,cash
Online shopping payment INR 34527,34527,shopping,upi
27700 rupaye diye college fees payment ke liye card se,27700,education,card
29081 rupay ka doctor consultation bill aaya upi se pay kya,29081,healthcare,upi
24174 rupye lga hotel booking me upi se die,24174,travel,upi
Personal loan installment INR 10558,10558,emi,cash
online clothing store bill se 30444 ka saman lia upi se pay kia,30444,shopping,upi
Cafe coffee INR 16210,16210,food,upi
fixed deposit investment me 47076 rs. invest kya upi se,47076,investment,upi
Food court payment INR 42951,42951,food,upi
cafe coffee me 41213 rupye ka khana khaya cash se,41213,food,cash
Concert ticket INR 11018,11018,entertainment,cash
Exam fee INR 7111,7111,education,card
netflix subscription dekha 34990 rupaye lgaa card se die,34990,entertainment,card
Amazon purchase INR 24728,24728,shopping,upi
Doctor consultation INR 27196,27196,healthcare,card
doctor consultation pe 38968 rupaiye kharcha hui davai pe card se,38968,healthcare,card
College fees payment INR 27700,27700,education,card
hotel booking ka kiraya 32224 rs. diye upi se,32224,travel,upi
Water bill INR 39239,39239,utilities,cash
Crypto investment INR 5216,5216,investment,upi
Medical test charges INR 45967,45967,healthcare,upi
10845 rupaiye lagaa hotel booking me card se diyee,10845,travel,card
Car loan EMI INR 6265,6265,emi,cash
Internet recharge INR 48438,48438,utilities,cash
clothing store bill pe shopping kiya 15291 rupay kharchaa upi se,15291,shopping,upi
44640 rupye ka home loan emi installment upi se diy,44640,emi,upi
online electronics shopping se 3182 ka saman lya cash se pay kiyaa,3182,shopping,cash
electronics shopping pe shopping kia 12276 rupaiye khrcha cash se,12276,shopping,cash
Online shopping payment INR 3536,3536,shopping,upi
Water bill INR 37144,37144,utilities,cash
Online shopping payment INR 43835,43835,shopping,card
Stock purchase INR 9736,9736,investment,upi
doctor consultation pe 2667 rupay karcha hui davai pe cash se,2667,healthcare,cash
hotel booking ki ticket 24174 rupaiye me book kya upi se,24174,travel,upi
College fees payment INR 14408,14408,education,card
bike loan emi ki EMI 24571 rupye card se bhara,24571,emi,card
aaj ppf contribution me 1405 rupaiye lagaye card se,1405,investment,card
aaj bus ticket liya 22422 rupay cash se pay kia,22422,travel,cash
Mutual fund SIP INR 42304,42304,investment,cash
Hospital bill INR 14208,14208,healthcare,cash
Internet recharge INR 16152,16152,utilities,upi
Personal loan installment INR 48892,48892,emi,card
online online shopping payment se 49061 ka saman liyaa upi se pay kiya,49061,shopping,upi
Flipkart order INR 42867,42867,shopping,cash
24997 rupye kharchaa kiyaa restaurant bill pe card se,24997,food,card
aaj uber ride liyaa 16659 rs card se pay kiyaa,16659,travel,card
doctor consultation me 33391 rupye khrcha hua card se die,33391,healthcare,card
Cafe coffee INR 37514,37514,food,card
Home loan EMI INR 4088,4088,emi,cash
32661 rs ka pharmacy medicine purchase bill aaya card se pay kiyaa,32661,healthcare,card
loan ka home loan emi 30349 rupye cash se pay kiyaa,30349,emi,cash
Amazon purchase INR 257,257,shopping,card
Mutual fund SIP INR 46113,46113,investment,card
Train ticket IRCTC INR 33695,33695,travel,upi
aaj flight ticket booking lia 16186 rs upi se pay kiya,16186,travel,upi
library fee ka course 36137 rs me liya card se pay kia,36137,education,card
41679 rs ka medical test charges bill aaya upi se pay kya,41679,healthcare,upi
bus ticket ki ticket 43845 rupay me book kya cash se,43845,travel,cash
aaj gas bill payment ka 5366 rupaiye ka bill card se bhara,5366,utilities,card
Hospital bill INR 16643,16643,healthcare,card
Electronics shopping INR 28634,28634,shopping,cash
45055 rs lagaa bus ticket me card se diye,45055,travel,card
Bus ticket INR 5976,5976,travel,card
online flipkart order se 38485 ka saman liya card se pay kia,38485,shopping,card
gas bill payment recharge kya 9725 rupye upi se,9725,utilities,upi
Medical test charges INR 45570,45570,healthcare,card
aaj crypto investment me 43388 rs lagaye cash se,43388,investment,cash
movie ticket booking dekha 16148 rupaiye laga upi se diy,16148,entertainment,upi
41591 rupaye fixed deposit investment me daale upi se,41591,investment,upi
Restaurant bill INR 42457,42457,food,cash
"restaurant bill pe 42457 ka bill tha, cash se pay kiyaa",42457,food,cash
personal loan installment EMI 35959 rs. kat gaye cash se,35959,emi,cash
stock purchase me 27435 rupay invest kia upi se,27435,investment,upi
6097 rupaye lagaa ola cab me upi se die,6097,travel,upi
padhai ke liye online course subscription pe 46137 rs. kharch kia card se,46137,education,card
Ola cab INR 11918,11918,travel,cash
College fees payment INR 45753,45753,education,card
Amazon purchase INR 37279,37279,shopping,cash
Medical test charges INR 14407,14407,healthcare,cash
pizza delivery me 35963 rs ka khana khayaa upi se,35963,food,upi
Gas bill payment INR 25017,25017,utilities,cash
Doctor consultation INR 17462,17462,healthcare,cash
Hotel booking INR 11927,11927,travel,upi
aaj electricity bill payment ka 37326 rupye ka bill cash se bharra,37326,utilities,cash
Home loan EMI INR 3558,3558,emi,upi
Concert ticket INR 16317,16317,entertainment,card
"pizza delivery pe 6943 ka bill tha, upi se pay kia",6943,food,upi
online course subscription ki fees 39601 rupaye card se bharaa,39601,education,card
library fee ka course 33733 rupay me liya upi se pay kya,33733,education,upi
Swiggy order INR 46783,46783,food,cash
Stock purchase INR 43568,43568,investment,upi
Ola cab INR 16749,16749,travel,cash
Library fee INR 35740,35740,education,cash
home loan emi ki EMI 29470 rs. cash se bhara,29470,emi,cash
Netflix subscription INR 27484,27484,entertainment,cash
Zomato dinner INR 9587,9587,food,card
aaj mobile recharge ka 20130 rupay ka bill upi se bhara,20130,utilities,upi
"cafe coffee pe 26652 ka bill tha, upi se pay kia",26652,food,upi
aaj uber ride lya 10465 rupye card se pay kiya,10465,travel,card
online shopping payment pe shopping kia 34818 rs. kharcha upi se,34818,shopping,upi
Internet recharge INR 30520,30520,utilities,upi
food court payment me 42951 rs ka khana khayaa upi se,42951,food,upi
Exam fee INR 36422,36422,education,card
restaurant bill ka khana 41436 rs me aaya upi se die,41436,food,upi
Zomato dinner INR 15780,15780,food,card
Library fee INR 37624,37624,education,card
online flipkart order se 35043 ka saman liya card se pay kia,35043,shopping,card
Car loan EMI INR 38908,38908,emi,cash
aaj mutual fund sip me 19084 rs lagaye card se,19084,investment,card
Fixed deposit investment INR 41097,41097,investment,card
Restaurant bill INR 3891,3891,food,cash
clothing store bill pe shopping kiya 41776 rupaiye khrcha card se,41776,shopping,card
library fee ki fees 29029 rs. cash se bharra,29029,education,cash
mobile recharge recharge kia 24747 rupaye card se,24747,utilities,card
home loan emi ki EMI 3558 rupaiye upi se bharra,3558,emi,upi
Food court payment INR 7932,7932,food,cash
aaj crypto investment me 39704 rs. lagaye card se,39704,investment,card
Ola cab INR 28620,28620,travel,cash
pharmacy medicine purchase me 49301 rs. karcha hua cash se diyee,49301,healthcare,cash
Game purchase INR 264,264,entertainment,cash
mutual fund sip ka SIP 41835 rs cash se bharaa,41835,investment,cash
Uber ride INR 2106,2106,travel,cash
Netflix subscription INR 41242,41242,entertainment,cash
Clothing store bill INR 28217,28217,shopping,card
restaurant bill ka khana 30530 rupye me aaya upi se diye,30530,food,upi
aaj mobile recharge ka 32382 rupaiye ka bill cash se bharaa,32382,utilities,cash
game purchase ka subscription 13967 rupaye cash se renew kya,13967,entertainment,cash
6837 rs. ka medical test charges bill aaya upi se pay kiyaa,6837,healthcare,upi
Stock purchase INR 23014,23014,investment,upi
amazon purchase se 25052 rupay ka shopping kiyaa upi se,25052,shopping,upi
online flipkart order se 38929 ka saman liyaa card se pay kiya,38929,shopping,card
14459 rupaye kharch kiya concert ticket pe cash se,14459,entertainment,cash
3891 rs kharcha kia restaurant bill pe cash se,3891,food,cash
library fee ka course 35740 rupaye me liyaa cash se pay kiya,35740,education,cash
Credit card EMI INR 49756,49756,emi,card
game purchase ka subscription 33524 rupaiye cash se renew kya,33524,entertainment,cash
Pharmacy medicine purchase INR 8723,8723,healthcare,card
car loan emi EMI 38420 rupay kat gaye upi se,38420,emi,upi
6157 rupaye ka car loan emi installment card se diye,6157,emi,card
Game purchase INR 34701,34701,entertainment,card
Car loan EMI INR 16355,16355,emi,upi
hospital bill me 49357 rupaye kharch hua cash se die,49357,healthcare,cash
pizza delivery ka khana 24464 rs. me aaya upi se diy,24464,food,upi
electricity bill payment recharge kia 12018 rupaye cash se,12018,utilities,cash
amazon purchase se 14233 rupaiye ka shopping kia upi se,14233,shopping,upi
Medical test charges INR 47123,47123,healthcare,card
Online shopping payment INR 30136,30136,shopping,upi
48576 rs lga hotel booking me card se diye,48576,travel,card
doctor ke yahan 23876 rs. laga cash se diye,23876,healthcare,cash
Food court payment INR 29440,29440,food,cash
39223 rs kharcha kia pizza delivery pe card se,39223,food,card
bike loan emi EMI 9579 rupaye kat gaye card se,9579,emi,card
Cafe coffee INR 32565,32565,food,upi
concert ticket ka subscription 16317 rs card se renew kia,16317,entertainment,card
water bill recharge kya 31532 rupye cash se,31532,utilities,cash
electronics shopping se 13334 rs. ka shopping kiyaa upi se,13334,shopping,upi
aaj mutual fund sip me 29688 rupye lagaye card se,29688,investment,card
Medical test charges INR 1311,1311,healthcare,upi
aaj water bill ka 24269 rupaiye ka bill upi se bhra,24269,utilities,upi
PPF contribution INR 42510,42510,investment,card
doctor consultation me 19941 rupay kharchaa hua upi se diy,19941,healthcare,upi
Amazon purchase INR 34623,34623,shopping,cash
college fees payment ka course 48851 rupaye me liya cash se pay kia,48851,education,cash
37326 rs. ka electricity bill payment bill pay kiyaa cash se,37326,utilities,cash
Concert ticket INR 9640,9640,entertainment,cash
Car loan EMI INR 26884,26884,emi,cash
online course subscription ka course 38787 rupye me lia cash se pay kya,38787,education,cash
19701 rupaye kharch kiyaa cafe coffee pe upi se,19701,food,upi
aaj mobile recharge ka 44496 rupaye ka bill card se bharaa,44496,utilities,card
Online course subscription INR 38787,38787,education,cash
Food court payment INR 15072,15072,food,cash
Cafe coffee INR 44981,44981,food,upi
Mutual fund SIP INR 29688,29688,investment,card
fixed deposit investment ka SIP 35463 rupaiye card se bharaa,35463,investment,card
gas bill payment ka bill 36250 rupye upi se bharra,36250,utilities,upi
Medical test charges INR 38809,38809,healthcare,card
13573 rs. ka personal loan installment installment upi se diyee,13573,emi,upi
6159 rs. ka order diyee electronics shopping pe cash se,6159,shopping,cash
aaj flight ticket booking liya 48115 rupaiye card se pay kiya,48115,travel,card
flight ticket booking ka kiraya 4564 rs diyee upi se,4564,travel,upi
car loan emi EMI 48569 rupaye kat gaye upi se,48569,emi,upi
Online shopping payment INR 21769,21769,shopping,upi
35771 rs ka water bill bill pay kiyaa upi se,35771,utilities,upi
Amazon purchase INR 49922,49922,shopping,card
loan ka car loan emi 49475 rs cash se pay kiya,49475,emi,cash
24591 rupaye karcha kya movie ticket booking pe upi se,24591,entertainment,upi
padhai ke liye exam fee pe 23550 rs. kharch kya upi se,23550,education,upi
Clothing store bill INR 41776,41776,shopping,card
14353 rs. ka pharmacy medicine purchase bill aaya card se pay kiyaa,14353,healthcare,card
20997 rupaiye kharcha kia cafe coffee pe card se,20997,food,card
game purchase ka ticket 9502 rs me liyaa card se,9502,entertainment,card
15034 rupaiye laga uber ride me card se die,15034,travel,card
credit card emi ki EMI 38744 rupaiye cash se bhara,38744,emi,cash
Amazon purchase INR 41134,41134,shopping,cash
13099 rs. ka home loan emi installment upi se diyee,13099,emi,upi
Library fee INR 47809,47809,education,card
amazon purchase se 49922 rupay ka shopping kiyaa card se,49922,shopping,card
credit card emi EMI 2925 rs. kat gaye cash se,2925,emi,cash
pharmacy medicine purchase pe 6863 rupaye kharcha hui davai pe cash se,6863,healthcare,cash
Amazon purchase INR 44040,44040,shopping,upi
swiggy order me 3507 rs. ka khana khaaya card se,3507,food,card
water bill ka bill 48781 rs. card se bhara,48781,utilities,card
car loan emi EMI 38908 rupye kat gaye cash se,38908,emi,cash
exam fee ki fees 7111 rupay card se bharra,7111,education,card
18708 rs kharcha kya concert ticket pe card se,18708,entertainment,card
Movie ticket booking INR 26079,26079,entertainment,cash
Pizza delivery INR 15700,15700,food,upi
9579 rupye ka bike loan emi installment card se diy,9579,emi,card
ola cab ki ticket 48830 rupaye me book kiyaa card se,48830,travel,card
movie ticket booking ka ticket 6585 rs. me liya cash se,6585,entertainment,cash
Cafe coffee INR 19701,19701,food,upi
20444 rs. ka home loan emi installment cash se diyee,20444,emi,cash
electronics shopping pe shopping kiya 17441 rupye kharchaa card se,17441,shopping,card
exam fee ki fees 43627 rupaiye card se bharra,43627,education,card
College fees payment INR 5290,5290,education,card
personal loan installment EMI 10558 rs. kat gaye cash se,10558,emi,cash
33524 rupaiye kharcha kiyaa game purchase pe cash se,33524,entertainment,cash
hotel booking ki ticket 32684 rs. me book kiya upi se,32684,travel,upi
Zomato dinner INR 20350,20350,food,upi
Credit card EMI INR 16906,16906,emi,upi
Cafe coffee INR 6886,6886,food,cash
Bike loan EMI INR 27133,27133,emi,card
Hospital bill INR 5037,5037,healthcare,card
26178 rs khrcha kya netflix subscription pe cash se,26178,entertainment,cash
Crypto investment INR 29759,29759,investment,cash
Concert ticket INR 43764,43764,entertainment,cash
3536 rupye ka order diyee online shopping payment pe upi se,3536,shopping,upi
water bill recharge kia 46698 rupaye cash se,46698,utilities,cash
Hospital bill INR 48731,48731,healthcare,upi
college fees payment ki fees 5290 rupye card se bharaa,5290,education,card
loan ka car loan emi 27259 rs. cash se pay kiya,27259,emi,cash
24165 rupye ka gas bill payment bill pay kiya upi se,24165,utilities,upi
14153 rupaiye ka credit card emi installment cash se die,14153,emi,cash
online amazon purchase se 23397 ka saman lia upi se pay kiya,23397,shopping,upi
doctor consultation pe 35787 rs kharcha hui davai pe card se,35787,healthcare,card
Flipkart order INR 25794,25794,shopping,card
doctor consultation pe 22665 rs. kharch hui davai pe card se,22665,healthcare,card
45363 rupaiye ka electricity bill payment bill pay kya card se,45363,utilities,card
train ticket irctc ka kiraya 33695 rupay diye upi se,33695,travel,upi
online electronics shopping se 8213 ka saman liya upi se pay kiya,8213,shopping,upi
aaj ppf contribution me 24954 rupaye lagaye cash se,24954,investment,cash
concert ticket ka ticket 43764 rs. me liyaa cash se,43764,entertainment,cash
24926 rupaiye ka personal loan installment installment cash se diyee,24926,emi,cash
14407 rupay ka medical test charges bill aaya cash se pay kiya,14407,healthcare,cash
Personal loan installment INR 12499,12499,emi,upi
46113 rs mutual fund sip me daale card se,46113,investment,card
netflix subscription ka ticket 10561 rs. me lya card se,10561,entertainment,card
Medical test charges INR 27426,27426,healthcare,cash
aaj cafe coffee se khana order kya 19481 rupay cash se diy,19481,food,cash
24562 rs. lagaa flight ticket booking me card se diyee,24562,travel,card
College fees payment INR 40818,40818,education,card
doctor ke yahan 38809 rupaiye lga card se diy,38809,healthcare,card
Gas bill payment INR 24165,24165,utilities,upi
15729 rupay ka mobile recharge bill pay kia upi se,15729,utilities,upi
aaj flight ticket booking lia 4564 rupaye upi se pay kia,4564,travel,upi
water bill ka bill 38723 rupay cash se bharra,38723,utilities,cash
concert ticket ka ticket 494 rupye me liyaa card se,494,entertainment,card
Medical test charges INR 25038,25038,healthcare,upi
uber ride ki ticket 10666 rs. me book kiya upi se,10666,travel,upi
online course subscription ki fees 40270 rupay upi se bhara,40270,education,upi
ppf contribution me 43294 rupye invest kia upi se,43294,investment,upi
mobile recharge recharge kiyaa 5785 rupaye cash se,5785,utilities,cash
aaj mutual fund sip me 12854 rs lagaye cash se,12854,investment,cash
21166 rupaye diy library fee ke liye cash se,21166,education,cash
loan ka car loan emi 4320 rupye cash se pay kya,4320,emi,cash
medical test charges pe 28567 rs. kharch hui davai pe upi se,28567,healthcare,upi
bike loan emi EMI 40005 rupaiye kat gaye cash se,40005,emi,cash
college fees payment ki fees 1210 rs cash se bharra,1210,education,cash
online clothing store bill se 28217 ka saman liyaa card se pay kya,28217,shopping,card
1586 rupay ka order diy online shopping payment pe upi se,1586,shopping,upi
exam fee ka course 39380 rupye me lia upi se pay kiya,39380,education,upi
Online shopping payment INR 49061,49061,shopping,upi
Movie ticket booking INR 31421,31421,entertainment,cash
hotel booking ki ticket 24121 rupaiye me book kiya cash se,24121,travel,cash
bus ticket ka kiraya 42963 rs. diy cash se,42963,travel,cash
personal loan installment EMI 48892 rupaiye kat gaye card se,48892,emi,card
Flight ticket booking INR 24562,24562,travel,card
aaj flight ticket booking lia 7480 rs cash se pay kya,7480,travel,cash
Doctor consultation INR 23984,23984,healthcare,cash
Online course subscription INR 26545,26545,education,upi
Medical test charges INR 14034,14034,healthcare,cash
Amazon purchase INR 8762,8762,shopping,cash
Stock purchase INR 30481,30481,investment,card
loan ka home loan emi 41371 rs. cash se pay kiyaa,41371,emi,cash
1557 rs khrcha kia netflix subscription pe card se,1557,entertainment,card
Medical test charges INR 23876,23876,healthcare,cash
Stock purchase INR 20642,20642,investment,upi
hospital bill me 9625 rs. khrcha hua card se diye,9625,healthcare,card
Bus ticket INR 36387,36387,travel,cash
5487 rupay khrcha kia netflix subscription pe cash se,5487,entertainment,cash
Mutual fund SIP INR 21494,21494,investment,cash
16538 rupye kharcha kiya netflix subscription pe upi se,16538,entertainment,upi
Food court payment INR 2935,2935,food,cash
doctor ke yahan 32932 rs. lagaa card se diyee,32932,healthcare,card
flight ticket booking ki ticket 46574 rs me book kiyaa upi se,46574,travel,upi
flipkart order se 42867 rupaye ka shopping kiyaa cash se,42867,shopping,cash
online course subscription ki fees 46594 rupaye upi se bhra,46594,education,upi
online course subscription ki fees 22548 rupaiye upi se bharaa,22548,education,upi
concert ticket dekha 41437 rs lgaa cash se die,41437,entertainment,cash
Restaurant bill INR 43619,43619,food,card
ppf contribution ka SIP 32195 rupye cash se bharaa,32195,investment,cash
Online shopping payment INR 1407,1407,shopping,upi
train ticket irctc ki ticket 9510 rupye me book kya cash se,9510,travel,cash
home loan emi ki EMI 15972 rupaiye card se bharra,15972,emi,card
31269 rs die college fees payment ke liye card se,31269,education,card
Mobile recharge INR 24747,24747,utilities,card
aaj water bill ka 29403 rupay ka bill cash se bharra,29403,utilities,cash
12488 rupaye karcha kiyaa swiggy order pe upi se,12488,food,upi
Netflix subscription INR 10561,10561,entertainment,card
23688 rupay laga ola cab me cash se die,23688,travel,cash
Flight ticket booking INR 11610,11610,travel,cash
concert ticket ka subscription 46522 rs cash se renew kiya,46522,entertainment,cash
hotel booking ka kiraya 35701 rupaye diyee upi se,35701,travel,upi
Netflix subscription INR 25858,25858,entertainment,cash
clothing store bill se 36505 rupay ka shopping kya upi se,36505,shopping,upi
Netflix subscription INR 16459,16459,entertainment,card
Concert ticket INR 14459,14459,entertainment,cash
Zomato dinner INR 9334,9334,food,cash
online course subscription ki fees 29323 rs card se bharaa,29323,education,card
aaj mutual fund sip me 41777 rs lagaye upi se,41777,investment,upi
Medical test charges INR 28567,28567,healthcare,upi
aaj ppf contribution me 38046 rupay lagaye upi se,38046,investment,upi
Electricity bill payment INR 47161,47161,utilities,cash
Flight ticket booking INR 40894,40894,travel,upi
aaj cafe coffee se khana order kiyaa 43419 rupaye upi se die,43419,food,upi
aaj restaurant bill se khana order kiya 30530 rupaiye upi se diye,30530,food,upi
Exam fee INR 27378,27378,education,upi
concert ticket ka subscription 8400 rs. upi se renew kya,8400,entertainment,upi
medical test charges me 49075 rs. kharch hua cash se die,49075,healthcare,cash
pharmacy medicine purchase me 25971 rupye kharch hua cash se diy,25971,healthcare,cash
Water bill INR 43625,43625,utilities,upi
Internet recharge INR 25658,25658,utilities,card
19544 rs ka hospital bill bill aaya cash se pay kiya,19544,healthcare,cash
Concert ticket INR 14975,14975,entertainment,card
Swiggy order INR 7352,7352,food,card
stock purchase me 21427 rs. invest kia card se,21427,investment,card
Electronics shopping INR 8213,8213,shopping,upi
PPF contribution INR 39729,39729,investment,cash
doctor consultation me 26526 rupay karcha hua upi se die,26526,healthcare,upi
aaj ppf contribution me 36583 rs. lagaye upi se,36583,investment,upi
gas bill payment recharge kiya 46672 rupye upi se,46672,utilities,upi
Personal loan installment INR 13573,13573,emi,upi
Mutual fund SIP INR 46390,46390,investment,card
Library fee INR 36137,36137,education,card
12220 rs laga ola cab me cash se diy,12220,travel,cash
Bike loan EMI INR 22440,22440,emi,card
Mobile recharge INR 31674,31674,utilities,cash
Fixed deposit investment INR 24075,24075,investment,card
flipkart order se 48118 rupaiye ka shopping kya cash se,48118,shopping,cash
aaj stock purchase me 27004 rs. lagaye cash se,27004,investment,cash
aaj pizza delivery se khana order kia 36961 rs. card se diyee,36961,food,card
gas bill payment recharge kiya 43655 rupay upi se,43655,utilities,upi
Movie ticket booking INR 30807,30807,entertainment,card
Concert ticket INR 41437,41437,entertainment,cash
stock purchase ka SIP 3326 rs. cash se bhara,3326,investment,cash
Mobile recharge INR 47207,47207,utilities,card
Car loan EMI INR 14490,14490,emi,upi
Flipkart order INR 42220,42220,shopping,card
Ola cab INR 12308,12308,travel,cash
internet recharge recharge kiya 7712 rs card se,7712,utilities,card
Hotel booking INR 17249,17249,travel,cash
Electricity bill payment INR 16812,16812,utilities,cash
13072 rupaye ka internet recharge bill pay kiyaa cash se,13072,utilities,cash
movie ticket booking dekha 37647 rupye lagaa card se die,37647,entertainment,card
15868 rupaye ka pharmacy medicine purchase bill aaya cash se pay kiya,15868,healthcare,cash
doctor consultation pe 14903 rupaye kharch hui davai pe upi se,14903,healthcare,upi
College fees payment INR 40804,40804,education,card
5169 rupaye ka medical test charges bill aaya card se pay kya,5169,healthcare,card
1407 rupye ka order diye online shopping payment pe upi se,1407,shopping,upi
Swiggy order INR 25051,25051,food,cash
Uber ride INR 10826,10826,travel,upi
uber ride ka kiraya 2094 rupay diy upi se,2094,travel,upi
"swiggy order pe 46783 ka bill tha, cash se pay kya",46783,food,cash
847 rs. khrcha kiya food court payment pe upi se,847,food,upi
"food court payment pe 3878 ka bill tha, card se pay kia",3878,food,card
24086 rupaiye ka personal loan installment installment cash se die,24086,emi,cash
Mobile recharge INR 36946,36946,utilities,card
internet recharge ka bill 29591 rupay upi se bhra,29591,utilities,upi
internet recharge ka bill 49184 rs. upi se bhra,49184,utilities,upi
43265 rupay ka order diyee electronics shopping pe upi se,43265,shopping,upi
aaj stock purchase me 49841 rupaye lagaye upi se,49841,investment,upi
aaj ppf contribution me 45976 rupaye lagaye card se,45976,investment,card
mutual fund sip ka SIP 46113 rupaiye card se bharra,46113,investment,card
padhai ke liye library fee pe 25353 rupye kharchaa kya cash se,25353,education,cash
pharmacy medicine purchase me 8723 rupaye karcha hua card se diye,8723,healthcare,card
Pharmacy medicine purchase INR 11325,11325,healthcare,card
Online course subscription INR 19262,19262,education,card
13852 rupaye ka pharmacy medicine purchase bill aaya upi se pay kiyaa,13852,healthcare,upi
electricity bill payment ka bill 22313 rs upi se bharaa,22313,utilities,upi
aaj electricity bill payment ka 45479 rs. ka bill upi se bharaa,45479,utilities,upi
Electronics shopping INR 12276,12276,shopping,cash
Stock purchase INR 19455,19455,investment,cash
Netflix subscription INR 34990,34990,entertainment,card
online shopping payment pe shopping kya 43835 rupaiye khrcha card se,43835,shopping,card
Water bill INR 10058,10058,utilities,card
movie ticket booking ka subscription 26131 rs upi se renew kiyaa,26131,entertainment,upi
Gas bill payment INR 9725,9725,utilities,upi
loan ka credit card emi 14153 rupaye cash se pay kiyaa,14153,emi,cash
Water bill INR 25603,25603,utilities,cash
36387 rs. lagaa bus ticket me cash se diyee,36387,travel,cash
Zomato dinner INR 29492,29492,food,cash
Flipkart order INR 34314,34314,shopping,card
