text,amount,category,payment_method,payment_provider,location,notes
school college tuition course books fees ₹46303 card,46303,education,card,,,
aaj mutual fund sip me 11890 rupaiye lagaye Phone Pe se,11890,investment,upi,phonepe,,
aaj stock purchase me 48390 rupye lagaye gpay se,48390,investment,upi,gpay,,
22320 rupay ka order die clothing store bill pe cred se,22320,shopping,upi,cred,,
Fixed deposit investment INR 29666,29666,investment,card,,,
Hotel booking INR 12751,12751,travel,card,,,
13640 rs. ka personal loan installment installment bhim se die,13640,emi,upi,bhim,,
Home loan EMI INR 38531,38531,emi,upi,cred,,
online shopping payment pe shopping kiya 8654 rupaiye kharchaa GPay se,8654,shopping,upi,gpay,,
electricity water broadband mobile recharge bill ₹39667 BHIM,39667,utilities,upi,bhim,,
Bike loan EMI INR 10433,10433,emi,upi,bhim,,
padhai ke liye college fees payment pe 41153 rs. kharcha kya cash se,41153,education,cash,,,
Home loan EMI INR 12217,12217,emi,card,,,
padhai ke liye college fees payment pe 8333 rs. kharch kiya card se,8333,education,card,,,
padhai ke liye online course subscription pe 23303 rupye khrcha kiyaa paytm se,23303,education,upi,paytm,,
dost ko 11361 rupye cash se bheje,11361,friends,cash,,,
school college tuition course books fees ₹2477 card,2477,education,card,,,
cafe coffee me 36491 rs ka khana khya paytm se,36491,food,upi,paytm,,
hotel booking ki ticket 21920 rs. me book kya cred se,21920,travel,upi,cred,,
grocery vegetables milk bread ₹11846 paid Paytm,11846,food,upi,paytm,,
Pizza delivery INR 29088,29088,food,upi,phonepe,,
game purchase dekha 32168 rupaye lgaa cash se diyee,32168,entertainment,cash,,,
electricity water broadband mobile recharge bill ₹30885 card,30885,utilities,card,,,
Game purchase INR 34946,34946,entertainment,card,,,
Pizza delivery INR 6020,6020,food,cash,,,
loan ka car loan emi 17220 rupay card se pay kiya,17220,emi,card,,,
paytm payment ₹41481 Pizza delivery,41481,food,upi,paytm,,
Home loan EMI INR 3954,3954,emi,card,,,
online flipkart order se 34474 ka saman liyaa cash se pay kiyaa,34474,shopping,cash,,,
Cafe coffee INR 6901,6901,food,card,,,
aaj uber ride liya 6512 rupay cash se pay kya,6512,travel,cash,,,
Food court payment INR 12513,12513,food,upi,bhim,,
electricity water broadband mobile recharge bill ₹27050 BHIM,27050,utilities,upi,bhim,,
Hotel booking INR 436,436,travel,upi,bhim,,
restaurant bill ka khana 28939 rs me aaya cash se diy,28939,food,cash,,,
library fee ka course 11929 rupay me liya card se pay kiyaa,11929,education,card,,,
loan ka car loan emi 21195 rupaye Google Pay se pay kiyaa,21195,emi,upi,gpay,,
Doctor consultation INR 41748,41748,healthcare,cash,,,
electricity water broadband mobile recharge bill ₹24259 cred,24259,utilities,upi,cred,,
bhai ko udhaar return 6483 rupye card se,6483,friends,card,,,
electricity water broadband mobile recharge bill ₹19891 cred,19891,utilities,upi,cred,,
clothing store bill pe shopping kya 1638 rupaye khrcha Google Pay se,1638,shopping,upi,gpay,,
aaj flight ticket booking liyaa 30606 rs card se pay kiya,30606,travel,card,,,
hospital doctor pharmacy medicine diagnostic ₹19930 card,19930,healthcare,card,,,
Clothing store bill INR 24526,24526,shopping,upi,gpay,,
1478 rupay ka order diy amazon purchase pe GPay se,1478,shopping,upi,gpay,,
electricity water broadband mobile recharge bill ₹42052 BHIM,42052,utilities,upi,bhim,,
amazon purchase se 37900 rupay ka shopping kya phonepe se,37900,shopping,upi,phonepe,,
PhonePe: Payment of ₹42141 to Electricity bill payment successful,42141,utilities,upi,phonepe,,
Paid ₹24059 to Amazon purchase using CRED,24059,shopping,upi,cred,,
Concert ticket INR 34216,34216,entertainment,upi,cred,,
Mobile recharge INR 39667,39667,utilities,upi,bhim,,
Paytm: Payment of ₹3382 to Mobile recharge successful,3382,utilities,upi,paytm,,
concert ticket ka ticket 7239 rupaye me liya card se,7239,entertainment,card,,,
7561 rs. ka order die flipkart order pe card se,7561,shopping,card,,,
online electronics shopping se 26135 ka saman lya card se pay kiya,26135,shopping,card,,,
amazon purchase pe shopping kia 18586 rupaiye kharcha card se,18586,shopping,card,,,
electricity water broadband mobile recharge bill ₹5226 gpay,5226,utilities,upi,gpay,,
22586 rs. kharch kia movie ticket booking pe card se,22586,entertainment,card,,,
Online course subscription INR 44855,44855,education,upi,paytm,,
exam fee ka course 15131 rs me liya card se pay kiya,15131,education,card,,,
aaj uber ride lya 19991 rs cash se pay kia,19991,travel,cash,,,
Hospital bill INR 28270,28270,healthcare,card,,,
Zomato dinner INR 12503 paid through CRED paid from account …7904,12503,food,upi,cred,,
Bike loan EMI INR 9065,9065,emi,card,,,
29638 rupaiye ka pharmacy medicine purchase bill aaya paytm se pay kia,29638,healthcare,upi,paytm,,
online shopping payment se 16094 rupaye ka shopping kiyaa card se,16094,shopping,card,,,
₹36198 debited from your account for PPF contribution (bhim UPI),36198,investment,upi,bhim,,
petrol diesel fuel ₹37938 at pump phonepe,37938,travel,upi,phonepe,,
Rs. 4350 sent to Movie ticket booking via paytm UPI HDFC Bank 3882,4350,entertainment,upi,paytm,,
pizza delivery me 44063 rupay ka khana khaya cash se,44063,food,cash,,,
7778 rupaiye ka order diyee amazon purchase pe CRED se,7778,shopping,upi,cred,,
game purchase ka subscription 11089 rupay Paytm se renew kia,11089,entertainment,upi,paytm,,
ola cab ki ticket 20826 rupaye me book kiya card se,20826,travel,card,,,
mutual fund SIP stocks PPF FD investment ₹14301 card,14301,investment,card,,,
Concert ticket INR 11763,11763,entertainment,card,,,
Flipkart order INR 34462,34462,shopping,upi,bhim,,
25439 rupye ka gas bill payment bill pay kia card se,25439,utilities,card,,,
internet recharge ka bill 9745 rupaye card se bharaa,9745,utilities,card,,,
netflix subscription ka ticket 25649 rupay me lia Phone Pe se,25649,entertainment,upi,phonepe,,
Paid ₹24209 to PPF contribution using GPay,24209,investment,upi,gpay,,
school college tuition course books fees ₹34355 PhonePe,34355,education,upi,phonepe,,
2714 rs ka order diy online shopping payment pe card se,2714,shopping,card,,,
Stock purchase INR 1650,1650,investment,card,,,
petrol diesel fuel ₹35678 at pump CRED,35678,travel,upi,cred,,
kal raat dinner split 10229 rupaiye phonepe,10229,friends,upi,phonepe,,
Flight ticket booking INR 39000 paid through Phone Pe,39000,travel,upi,phonepe,,
Clothing store bill INR 1106,1106,shopping,upi,phonepe,,
28214 rupay kharcha kia food court payment pe card se,28214,food,card,,,
gpay: Payment of ₹1540 to Library fee successful,1540,education,upi,gpay,,
amazon flipkart myntra online shopping order ₹27495 BHIM,27495,shopping,upi,bhim,,
40591 rs. ka hospital bill bill aaya BHIM se pay kiyaa,40591,healthcare,upi,bhim,,
Pharmacy medicine purchase INR 17428,17428,healthcare,card,,,
netflix spotify hotstar subscription movie show ₹19395 cash,19395,entertainment,cash,,,
electronics clothes purchase ₹6839 via BHIM,6839,shopping,upi,bhim,,
Flight ticket booking INR 25151,25151,travel,upi,paytm,,
Online course subscription INR 41380,41380,education,card,,,
home loan car loan credit card EMI monthly ₹32437 autopay card,32437,emi,card,,,
15979 rupaye ka water bill bill pay kiya paytm se,15979,utilities,upi,paytm,,
petrol diesel fuel ₹23754 at pump PhonePe,23754,travel,upi,phonepe,,
Water bill INR 43970,43970,utilities,upi,phonepe,,
Electronics shopping INR 3332,3332,shopping,card,,,
padhai ke liye college fees payment pe 26976 rs kharch kiya gpay se,26976,education,upi,gpay,,
hospital doctor pharmacy medicine diagnostic ₹24349 card,24349,healthcare,card,,,
kal raat dinner split 9873 rs. bhim,9873,friends,upi,bhim,,
Hotel booking INR 9808,9808,travel,card,,,
45095 rupye laga ola cab me card se diye,45095,travel,card,,,
amazon flipkart myntra online shopping order ₹32804 cash,32804,shopping,cash,,,
₹21532 debited from your account for Zomato dinner (phonepe UPI),21532,food,upi,phonepe,,
electronics clothes purchase ₹18586 via card,18586,shopping,card,,,
lunch dinner food order swiggy zomato restaurant meal ₹15243 cash,15243,food,cash,,,
amazon flipkart myntra online shopping order ₹1455 cred,1455,shopping,upi,cred,,
electricity water broadband mobile recharge bill ₹25908 BHIM,25908,utilities,upi,bhim,,
uber ola cab ride airport train ticket ₹30103 card,30103,travel,card,,,
Food court payment INR 23172,23172,food,card,,,
medical test charges pe 28137 rs kharch hui davai pe cred se,28137,healthcare,upi,cred,,
exam fee ka course 24458 rupaye me lia CRED se pay kiyaa,24458,education,upi,cred,,
amazon flipkart myntra online shopping order ₹15386 PhonePe,15386,shopping,upi,phonepe,,
medical test charges pe 7713 rs kharch hui davai pe card se,7713,healthcare,card,,,
Bike loan EMI INR 10587,10587,emi,card,,,
Exam fee INR 39173,39173,education,card,,,
Exam fee INR 37361,37361,education,cash,,,
Bus ticket INR 133 paid through bhim,133,travel,upi,bhim,,
aaj crypto investment me 33358 rs lagaye paytm se,33358,investment,upi,paytm,,
internet recharge ka bill 46052 rs card se bharra,46052,utilities,card,,,
home loan car loan credit card EMI monthly ₹10468 autopay gpay,10468,emi,upi,gpay,,
uber ride ki ticket 35008 rupay me book kiya card se,35008,travel,card,,,
netflix spotify hotstar subscription movie show ₹26317 card,26317,entertainment,card,,,
amazon flipkart myntra online shopping order ₹38338 card,38338,shopping,card,,,
₹5346 debited from your account for Water bill (BHIM UPI),5346,utilities,upi,bhim,,
electricity water broadband mobile recharge bill ₹15825 card,15825,utilities,card,,,
Netflix subscription INR 46960,46960,entertainment,upi,cred,,
23740 rs kharch kiya lunch at hotel pe paytm se,23740,food,upi,paytm,,
netflix spotify hotstar subscription movie show ₹35678 CRED,35678,entertainment,upi,cred,,
₹12651 debited from your account for Mobile recharge (PhonePe UPI),12651,utilities,upi,phonepe,,
Transaction successful — ₹24602 to Stock purchase via bhim UPI,24602,investment,upi,bhim,,
ola cab ka kiraya 25043 rupaiye diye card se,25043,travel,card,,,
game purchase ka ticket 8989 rupye me liya cash se,8989,entertainment,cash,,,
7322 rs. ka electricity bill payment bill pay kya card se,7322,utilities,card,,,
35643 rs. lagaa flight ticket booking me card se diyee,35643,travel,card,,,
Internet recharge INR 430,430,utilities,upi,phonepe,,
Cafe coffee INR 42960,42960,food,cash,,,
Electricity bill payment INR 48272,48272,utilities,upi,bhim,,
Phone Pe payment ₹897 Priya,897,friends,upi,phonepe,,
aaj stock purchase me 29807 rupaiye lagaye card se,29807,investment,card,,,
internet recharge recharge kya 31454 rs card se,31454,utilities,card,,,
PPF contribution INR 27817,27817,investment,upi,cred,,
uber ola cab ride airport train ticket ₹29030 card,29030,travel,card,,,
bus ticket ka kiraya 46686 rs. diyee PhonePe se,46686,travel,upi,phonepe,,
aaj flight ticket booking liya 46270 rupye card se pay kiyaa,46270,travel,card,,,
grocery vegetables milk bread ₹23358 paid cred,23358,food,upi,cred,,
Gas bill payment INR 7271,7271,utilities,upi,gpay,,
online course subscription ka course 24156 rs me lya card se pay kya,24156,education,card,,,
Gas bill payment INR 22533,22533,utilities,card,,,
Doctor consultation INR 2452,2452,healthcare,card,,,
padhai ke liye college fees payment pe 29907 rs. khrcha kiyaa card se,29907,education,card,,,
Flight ticket booking INR 4477,4477,travel,card,,,
hospital doctor pharmacy medicine diagnostic ₹10685 Google Pay,10685,healthcare,upi,gpay,,
Paytm: Payment of ₹17579 to College fees payment successful,17579,education,upi,paytm,,
Mutual fund SIP INR 9401,9401,investment,upi,bhim,,
electricity water broadband mobile recharge bill ₹20622 cash,20622,utilities,cash,,,
aaj flight ticket booking lia 45838 rupaiye Google Pay se pay kiyaa,45838,travel,upi,gpay,,
uber ola cab ride airport train ticket ₹44570 GPay,44570,travel,upi,gpay,,
Pharmacy medicine purchase INR 36823,36823,healthcare,card,,,
Paid ₹1244 to Pharmacy medicine purchase using GPay,1244,healthcare,upi,gpay,,
Exam fee INR 647,647,education,card,,,
mutual fund SIP stocks PPF FD investment ₹43626 CRED,43626,investment,upi,cred,,
internet recharge ka bill 43076 rs. BHIM se bhara,43076,utilities,upi,bhim,,
mutual fund SIP stocks PPF FD investment ₹32079 PhonePe,32079,investment,upi,phonepe,,
43809 rupaiye ka medical test charges bill aaya BHIM se pay kia,43809,healthcare,upi,bhim,,
aaj zomato dinner se khana order kiyaa 28042 rupye Phone Pe se diye,28042,food,upi,phonepe,,
8940 rs. crypto investment me daale cred se,8940,investment,upi,cred,,
zomato dinner me 37232 rupye ka khana khaaya card se,37232,food,card,,,
Pizza delivery INR 22821,22821,food,upi,bhim,,
Car loan EMI INR 10699,10699,emi,card,,,
Pizza delivery INR 9758,9758,food,cash,,,
28121 rs ka order diye clothing store bill pe bhim se,28121,shopping,upi,bhim,,
aaj zomato dinner se khana order kia 1023 rs Paytm se diy,1023,food,upi,paytm,,
fixed deposit investment me 29666 rupay invest kiyaa card se,29666,investment,card,,,
college fees payment ka course 44692 rupaiye me liya card se pay kiya,44692,education,card,,,
Zomato dinner INR 9827,9827,food,cash,,,
lunch dinner food order swiggy zomato restaurant meal ₹8289 Paytm,8289,food,upi,paytm,,
Gas bill payment INR 5078,5078,utilities,upi,paytm,,
crypto investment me 18636 rupaiye invest kia phonepe se,18636,investment,upi,phonepe,,
flight ticket booking ki ticket 16870 rupaiye me book kya card se,16870,travel,card,,,
aaj lunch at hotel se khana order kiya 21704 rs. card se diy,21704,food,card,,,
electricity water broadband mobile recharge bill ₹23242 gpay,23242,utilities,upi,gpay,,
gas bill payment recharge kia 20147 rupay paytm se,20147,utilities,upi,paytm,,
movie ticket booking ka subscription 25114 rupaye cash se renew kia,25114,entertainment,cash,,,
Hotel booking INR 35581,35581,travel,card,,,
netflix spotify hotstar subscription movie show ₹3558 cash,3558,entertainment,cash,,,
Paid ₹41265 to Hospital bill using bhim,41265,healthcare,upi,bhim,,
restaurant bill ka khana 25187 rupay me aaya PhonePe se diyee,25187,food,upi,phonepe,,
40712 rupay mutual fund sip me daale card se,40712,investment,card,,,
Pharmacy medicine purchase INR 28260,28260,healthcare,card,,,
flight ticket booking ka kiraya 48584 rupye die cash se,48584,travel,cash,,,
Uber ride INR 43386,43386,travel,upi,bhim,,
₹6839 debited from your account for Clothing store bill (bhim UPI),6839,shopping,upi,bhim,,
loan ka home loan emi 41887 rs. card se pay kya,41887,emi,card,,,
Medical test charges INR 35322,35322,healthcare,upi,gpay,,
Game purchase INR 25920,25920,entertainment,upi,cred,,
19891 rupay ka water bill bill pay kia CRED se,19891,utilities,upi,cred,,
hospital doctor pharmacy medicine diagnostic ₹38832 card,38832,healthcare,card,,,
Hospital bill INR 5234,5234,healthcare,card,,,
hospital doctor pharmacy medicine diagnostic ₹33087 cash,33087,healthcare,cash,,,
amazon flipkart myntra online shopping order ₹34476 Phone Pe,34476,shopping,upi,phonepe,,
padhai ke liye college fees payment pe 12267 rupaye karcha kya card se,12267,education,card,,,
Doctor consultation INR 41383,41383,healthcare,upi,gpay,,
uber ola cab ride airport train ticket ₹12424 card,12424,travel,card,,,
aaj ppf contribution me 42642 rupaiye lagaye Phone Pe se,42642,investment,upi,phonepe,,
netflix spotify hotstar subscription movie show ₹20723 cash,20723,entertainment,cash,,,
Flipkart order INR 11624 paid through Paytm,11624,shopping,upi,paytm,,
dost ko 23390 rs. cred se bheje,23390,friends,upi,cred,,
paytm: Payment of ₹17985 to Personal loan installment successful,17985,emi,upi,paytm,,
College fees payment INR 19249,19249,education,card,,,
Paytm: Payment of ₹10493 to Zomato dinner successful,10493,food,upi,paytm,,
Movie ticket booking INR 21756,21756,entertainment,upi,paytm,,
school college tuition course books fees ₹43343 BHIM,43343,education,upi,bhim,,
Game purchase INR 14802,14802,entertainment,card,,,
Restaurant bill INR 300,300,food,upi,phonepe,,
BHIM: Payment of ₹5603 to Online course subscription successful,5603,education,upi,bhim,,
Game purchase INR 35678,35678,entertainment,upi,cred,,
Internet recharge INR 26991 paid through GPay,26991,utilities,upi,gpay,,
aaj ppf contribution me 36853 rupay lagaye GPay se,36853,investment,upi,gpay,,
medical test charges me 421 rs karcha hua card se diyee,421,healthcare,card,,,
padhai ke liye library fee pe 30949 rupaye kharchaa kiyaa phonepe se,30949,education,upi,phonepe,,
mobile recharge ka bill 38108 rupye CRED se bhara,38108,utilities,upi,cred,,
split bill 13011 rupay cred se diyee,13011,friends,upi,cred,,
Fixed deposit investment INR 48989,48989,investment,upi,paytm,,
movie ticket booking ka subscription 47822 rupaiye card se renew kya,47822,entertainment,card,,,
₹41644 debited from your account for Electricity bill payment (Google Pay UPI),41644,utilities,upi,gpay,,
Mobile recharge INR 35169,35169,utilities,upi,paytm,,
grocery vegetables milk bread ₹35920 paid phonepe,35920,food,upi,phonepe,,
Paid ₹24276 to Exam fee using gpay,24276,education,upi,gpay,,
Transaction successful — ₹5953 to Online course subscription via Paytm UPI,5953,education,upi,paytm,,
Train ticket IRCTC INR 6217,6217,travel,upi,cred,,
Personal loan installment INR 3032,3032,emi,upi,bhim,,
ola cab ka kiraya 6386 rupaye diyee CRED se,6386,travel,upi,cred,,
doctor consultation me 30307 rupay kharchaa hua card se diy,30307,healthcare,card,,,
Food court payment INR 15492,15492,food,upi,cred,,
uber ola cab ride airport train ticket ₹4991 gpay,4991,travel,upi,gpay,,
Mobile recharge INR 22237,22237,utilities,card,,,
netflix subscription ka subscription 47586 rupye Paytm se renew kiya,47586,entertainment,upi,paytm,,
Swiggy order INR 13882 paid through cred,13882,food,upi,cred,,
Paytm payment ₹49649 Medical test charges,49649,healthcare,upi,paytm,,
Gas bill payment INR 9079,9079,utilities,card,,,
Concert ticket INR 45462,45462,entertainment,cash,,,
46395 rs. mutual fund sip me daale Google Pay se,46395,investment,upi,gpay,,
College fees payment INR 14185,14185,education,upi,paytm,,
home loan car loan credit card EMI monthly ₹13403 autopay card,13403,emi,card,,,
Library fee INR 30373,30373,education,upi,bhim,,
5074 rs fixed deposit investment me daale cred se,5074,investment,upi,cred,,
Online shopping payment INR 35319,35319,shopping,card,,,
mutual fund SIP stocks PPF FD investment ₹18636 PhonePe,18636,investment,upi,phonepe,,
Internet recharge INR 30397,30397,utilities,upi,cred,,
Vikram INR 10730 paid through CRED,10730,friends,upi,cred,,
4633 rs friend ko UPI Paytm se transfer,4633,friends,upi,paytm,,
Internet recharge INR 23178,23178,utilities,upi,cred,,
kal raat dinner split 19881 rupaye BHIM,19881,friends,upi,bhim,,
Mobile recharge INR 38108 paid through cred,38108,utilities,upi,cred,,
Library fee INR 48494,48494,education,card,,,
uber ride ki ticket 36926 rupay me book kiyaa card se,36926,travel,card,,,
home loan car loan credit card EMI monthly ₹27707 autopay card,27707,emi,card,,,
Pharmacy medicine purchase INR 2939,2939,healthcare,card,,,
electronics shopping se 14090 rupaiye ka shopping kiyaa card se,14090,shopping,card,,,
netflix spotify hotstar subscription movie show ₹433 card,433,entertainment,card,,,
"restaurant bill pe 44089 ka bill tha, Phone Pe se pay kya",44089,food,upi,phonepe,,
Concert ticket INR 18126,18126,entertainment,card,,,
39235 rupaiye ka mobile recharge bill pay kia PhonePe se,39235,utilities,upi,phonepe,,
cafe coffee me 1574 rupaiye ka khana khya cred se,1574,food,upi,cred,,
Bike loan EMI INR 4969,4969,emi,upi,cred,,
petrol diesel fuel ₹36719 at pump card,36719,travel,card,,,
35322 rs ka mobile recharge bill pay kiya bhim se,35322,utilities,upi,bhim,,
hospital bill pe 1016 rupye kharcha hui davai pe Phone Pe se,1016,healthcare,upi,phonepe,,
game purchase ka subscription 49683 rs. CRED se renew kia,49683,entertainment,upi,cred,,
Ola cab INR 15769,15769,travel,cash,,,
48487 rs. karcha kiya game purchase pe cred se,48487,entertainment,upi,cred,,
Movie ticket booking INR 28720,28720,entertainment,upi,gpay,,
doctor ke yahan 13432 rs laga cash se diye,13432,healthcare,cash,,,
Credit card EMI INR 23564,23564,emi,upi,paytm,,
mutual fund SIP stocks PPF FD investment ₹16946 BHIM,16946,investment,upi,bhim,,
bhai ko udhaar return 1409 rs. cred se,1409,friends,upi,cred,,
Clothing store bill INR 25070,25070,shopping,upi,cred,,
water bill recharge kya 45105 rupaye Google Pay se,45105,utilities,upi,gpay,,
school college tuition course books fees ₹2449 CRED,2449,education,upi,cred,,
Stock purchase INR 24602,24602,investment,upi,bhim,,
home loan car loan credit card EMI monthly ₹7023 autopay Paytm,7023,emi,upi,paytm,,
Paid ₹11015 to Library fee using PhonePe,11015,education,upi,phonepe,,
hospital bill me 21406 rs. karcha hua paytm se diyee,21406,healthcare,upi,paytm,,
mobile recharge ka bill 38956 rupye cred se bhara,38956,utilities,upi,cred,,
Bike loan EMI INR 3838,3838,emi,card,,,
grocery vegetables milk bread ₹2160 paid card,2160,food,card,,,
3777 rs die online course subscription ke liye BHIM se,3777,education,upi,bhim,,
CRED payment ₹24508 College fees payment,24508,education,upi,cred,,
38166 rupay lgaa bus ticket me card se diye,38166,travel,card,,,
Personal loan installment INR 31504,31504,emi,upi,gpay,,
fixed deposit investment me 44672 rs. invest kya card se,44672,investment,card,,,
cred: Payment of ₹31890 to Pizza delivery successful paid from account …4947,31890,food,upi,cred,,
mutual fund SIP stocks PPF FD investment ₹15734 card,15734,investment,card,,,
Clothing store bill INR 29712,29712,shopping,upi,cred,,
Online course subscription INR 20194 paid through gpay,20194,education,upi,gpay,,
Crypto investment INR 17818 paid through bhim,17818,investment,upi,bhim,,
Zomato dinner INR 910,910,food,upi,gpay,,
Library fee INR 26177,26177,education,card,,,
netflix spotify hotstar subscription movie show ₹14131 paytm,14131,entertainment,upi,paytm,,
Restaurant bill INR 33298,33298,food,upi,bhim,,
online shopping payment se 45178 rs ka shopping kiya cash se,45178,shopping,cash,,,
amazon flipkart myntra online shopping order ₹35184 card,35184,shopping,card,,,
mutual fund SIP stocks PPF FD investment ₹15410 card,15410,investment,card,,,
loan ka car loan emi 21693 rupay card se pay kiyaa,21693,emi,card,,,
Pharmacy medicine purchase INR 41301,41301,healthcare,upi,cred,,
kal raat dinner split 21831 rs PhonePe,21831,friends,upi,phonepe,,
Hospital bill INR 16715,16715,healthcare,upi,phonepe,,
aaj crypto investment me 27821 rupye lagaye gpay se,27821,investment,upi,gpay,,
Zomato dinner INR 14436,14436,food,upi,bhim,,
amazon flipkart myntra online shopping order ₹43757 paytm,43757,shopping,upi,paytm,,
PhonePe: Payment of ₹37524 to Electricity bill payment successful,37524,utilities,upi,phonepe,,
22278 rs. kharchaa kiya game purchase pe cash se,22278,entertainment,cash,,,
Pizza delivery INR 35842,35842,food,cash,,,
grocery vegetables milk bread ₹1023 paid Paytm,1023,food,upi,paytm,,
dost ko 11497 rs cred se bheje,11497,friends,upi,cred,,
6338 rupye kharchaa kia netflix subscription pe paytm se,6338,entertainment,upi,paytm,,
8431 rupay mutual fund sip me daale card se,8431,investment,card,,,
home loan car loan credit card EMI monthly ₹43373 autopay cred,43373,emi,upi,cred,,
online course subscription ki fees 42488 rs card se bharra,42488,education,card,,,
dost ko 3220 rs phonepe se bheje,3220,friends,upi,phonepe,,
concert ticket ka subscription 49889 rs. cash se renew kya,49889,entertainment,cash,,,
electronics clothes purchase ₹10903 via card,10903,shopping,card,,,
uber ola cab ride airport train ticket ₹39157 card,39157,travel,card,,,
Flight ticket booking INR 23117,23117,travel,card,,,
hospital doctor pharmacy medicine diagnostic ₹35145 cash,35145,healthcare,cash,,,
Transaction successful — ₹11736 to Fixed deposit investment via CRED UPI,11736,investment,upi,cred,,
loan ka credit card emi 29449 rupaye bhim se pay kiyaa,29449,emi,upi,bhim,,
22832 rupaye ka car loan emi installment card se die,22832,emi,card,,,
pharmacy medicine purchase me 42619 rupay kharch hua Paytm se diy,42619,healthcare,upi,paytm,,
mutual fund SIP stocks PPF FD investment ₹3593 Google Pay,3593,investment,upi,gpay,,
home loan car loan credit card EMI monthly ₹41529 autopay card,41529,emi,card,,,
30130 rs ka pharmacy medicine purchase bill aaya bhim se pay kia,30130,healthcare,upi,bhim,,
PPF contribution INR 36813,36813,investment,upi,paytm,,
sent ₹1834 to friend on paytm split bill UPI,1834,friends,upi,paytm,,
electronics clothes purchase ₹46004 via card,46004,shopping,card,,,
Rs. 24912 sent to Internet recharge via PhonePe UPI,24912,utilities,upi,phonepe,,
grocery vegetables milk bread ₹21097 paid paytm,21097,food,upi,paytm,,
hospital doctor pharmacy medicine diagnostic ₹31944 card,31944,healthcare,card,,,
5797 rs ka order diy clothing store bill pe Phone Pe se,5797,shopping,upi,phonepe,,
aaj stock purchase me 19769 rupay lagaye Phone Pe se,19769,investment,upi,phonepe,,
school college tuition course books fees ₹12431 paytm,12431,education,upi,paytm,,
PPF contribution INR 34072,34072,investment,upi,phonepe,,
fixed deposit investment me 15692 rupay invest kya Google Pay se,15692,investment,upi,gpay,,
netflix spotify hotstar subscription movie show ₹12228 card,12228,entertainment,card,,,
netflix spotify hotstar subscription movie show ₹27340 cash,27340,entertainment,cash,,,
Transaction successful — ₹35992 to Train ticket IRCTC via Paytm UPI,35992,travel,upi,paytm,,
Paid ₹11281 to Pizza delivery using cred,11281,food,upi,cred,,
school college tuition course books fees ₹4425 card,4425,education,card,,,
Netflix subscription INR 44429,44429,entertainment,card,,,
Uber ride INR 15676,15676,travel,card,,,
doctor ke yahan 12489 rupaye lagaa card se die,12489,healthcare,card,,,
bhim payment ₹12922 split dinner group,12922,friends,upi,bhim,,
aaj ola cab liya 8904 rupye card se pay kiya,8904,travel,card,,,
bhim payment ₹17091 Train ticket IRCTC,17091,travel,upi,bhim,,
mutual fund SIP stocks PPF FD investment ₹36293 card,36293,investment,card,,,
mutual fund SIP stocks PPF FD investment ₹6839 paytm,6839,investment,upi,paytm,,
lunch at hotel me 20026 rs. ka khana khaaya GPay se,20026,food,upi,gpay,,
40182 rupaiye kharcha kia concert ticket pe cash se,40182,entertainment,cash,,,
Movie ticket booking INR 27554,27554,entertainment,card,,,
Uber ride INR 15984,15984,travel,card,,,
lunch dinner food order swiggy zomato restaurant meal ₹31519 paytm,31519,food,upi,paytm,,
water bill recharge kia 36630 rupaye cred se,36630,utilities,upi,cred,,
netflix spotify hotstar subscription movie show ₹47649 BHIM,47649,entertainment,upi,bhim,,
netflix spotify hotstar subscription movie show ₹24669 card,24669,entertainment,card,,,
Home loan EMI INR 22776,22776,emi,card,,,
padhai ke liye exam fee pe 12107 rupaiye khrcha kiyaa card se,12107,education,card,,,
Restaurant bill INR 28066,28066,food,upi,bhim,,
Exam fee INR 39799,39799,education,upi,gpay,,
netflix spotify hotstar subscription movie show ₹46538 paytm,46538,entertainment,upi,paytm,,
petrol diesel fuel ₹2981 at pump card,2981,travel,card,,,
online electronics shopping se 14852 ka saman liyaa card se pay kiya,14852,shopping,card,,,
Transaction successful — ₹30158 to Pizza delivery via PhonePe UPI,30158,food,upi,phonepe,,
amazon flipkart myntra online shopping order ₹23032 card,23032,shopping,card,,,
Concert ticket INR 24411 paid through cred,24411,entertainment,upi,cred,,
Hospital bill INR 6135,6135,healthcare,cash,,,
Mobile recharge INR 44952,44952,utilities,cash,,,
Pharmacy medicine purchase INR 37571,37571,healthcare,card,,,
Lunch at hotel INR 41651,41651,food,card,,,
grocery vegetables milk bread ₹6637 paid cash,6637,food,cash,,,
29522 rupaye ka gas bill payment bill pay kia phonepe se,29522,utilities,upi,phonepe,,
aaj stock purchase me 19902 rs. lagaye bhim se,19902,investment,upi,bhim,,
Flipkart order INR 14160,14160,shopping,upi,bhim,,
amazon flipkart myntra online shopping order ₹44114 card,44114,shopping,card,,,
Medical test charges INR 5549,5549,healthcare,card,,,
Neha INR 22252 paid through Google Pay,22252,friends,upi,gpay,,
pharmacy medicine purchase pe 31726 rupaiye kharch hui davai pe phonepe se,31726,healthcare,upi,phonepe,,
32951 rupay ka electricity bill payment bill pay kiyaa paytm se,32951,utilities,upi,paytm,,
₹21923 debited from your account for Movie ticket booking (cred UPI),21923,entertainment,upi,cred,,
college fees payment ka course 26622 rs me lia card se pay kia,26622,education,card,,,
electricity water broadband mobile recharge bill ₹14615 GPay,14615,utilities,upi,gpay,,
